,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7
0,pandemic,johnson,case,covid,death,vaccine,jab
1,pfizer,boris,new,test,rate,passport,blood
2,coronavirus,northern,coronavirus,patient,brazil,dose,astrazeneca
3,read,ireland,surge,hospital,day,maharashtra,clot
4,impact,brexit,rise,think,toll,shortage,risk
5,life,violence,restriction,day,reported,centre,rare
6,business,irish,active,dying,case,dos,regulator
7,testing,border,zealand,year,died,minister,contraceptive
8,worker,peace,april,thing,people,second,oxford
9,help,lie,record,positive,reporting,modi,taking
